"664cd889-f72a-4231-9761-4d785c6cfc13","MFG OF ELECTRICAL ITEMS",,0,0,"Highly Technical",,"New Project (Existing Site)","Electronics & IT/ITES","Large - more than 10 crores",,,
"eeb24624-826f-497f-87cd-f6e675a3716f","Manufacture of particle board and fibreboard including densified wood",16212,1,0,"None of these",,"New Project (New Site)","Other Industries","Large - more than 10 crores",,,"Manufacture of particle board and fibreboard including densified wood"
"64aad06d-66da-46d0-99b4-40f36b803729","Residential",,0,0,"None of these",,"New Project (New Site)","Other Industries","Large - more than 10 crores",,,"Real Estate"
"37b4eccd-eee6-467e-987e-2dc5b3e1ee28",,25991,0,0,"None of these",,"New Project (New Site)","Auto, Auto Components and Light Engineering","Small - more than 25 lakhs and less �than or upto 5 crores",,,
"5a28ed40-4cda-477e-85a5-14c730902863","TO ESTABLISH MFG UNIT AND CATER MARKET IN COMPETITION TO CHINA",13926,0,0,"Export Oriented",,"New Project (New Site)","Textiles/ Apparel/ Knitting/ Embroidery/ Technical textiles","Medium - more than 5 crores and less than 10 crores",,,
"614100f0-49e6-489b-be8b-c96d8384b01b","TEXTILE",1312,0,1,"Export Oriented",,"Expansion Project","Textiles/ Apparel/ Knitting/ Embroidery/ Technical textiles","Small - more than 25 lakhs and less �than or upto 5 crores",,,
"7a5b4905-b4c4-4f2d-8f9a-f34a7f7f0e82",,68,0,0,"None of these",,"New Project (New Site)","Other Industries","Large - more than 10 crores",,,"Real Estate"
"7ff61b15-81c8-410b-be18-801ab322ed2c","TEXTILE",1312,0,1,"Export Oriented",,"Expansion Project","Textiles/ Apparel/ Knitting/ Embroidery/ Technical textiles","Small - more than 25 lakhs and less �than or upto 5 crores",,,
"9a169728-744b-4b70-b553-cf02f4f44019","INDUSTRIAL MARKING MACHINE",,0,0,"None of these",,"New Project (New Site)","Other Industries","Small - more than 25 lakhs and less �than or upto 5 crores",,,"INDUSTRIAL AUTOMATION"
"8f89e6ef-9fad-4b71-882f-c08c0e001149","Fly Ash Bricks",23912,0,0,"None of these",,"New Project (New Site)","Other Industries","Micro - upto 25 lakhs",,,"Construction material production"
"b0739596-829a-4d53-b5c5-6b0664a242c3","Door Fitting Items",,0,0,"None of these",,"New Project (Existing Site)","Auto, Auto Components and Light Engineering","Micro - upto 25 lakhs",,,
"13d2970d-9154-4afd-ac37-ce6baac24b49","NEW ESTABLISHMENT",24236,0,0,"None of these",,"New Project (New Site)","Other Industries","Small - more than 25 lakhs and less �than or upto 5 crores",,,"SURGICAL �CONSUMABLES"
"311001de-2afd-4343-a8ea-6ea5ff6747d1","Fly Ash Bricks",23921,0,0,"None of these",,"New Project (New Site)","Other Industries","Micro - upto 25 lakhs",,,"Fly Ash Bricks"
"21f7e022-ba1a-46d0-92c6-2c1dde71506f","Manufacturing",24236,0,0,"None of these",,"New Project (New Site)","Other Industries","Small - more than 25 lakhs and less �than or upto 5 crores",,,"Surgical Consumables"
"82cce1c9-580f-4b2d-810b-6b496cedc960","MANUFACTURING OF FOAM",32909,0,0,"None of these",,"New Project (Existing Site)","Other Industries","Small - more than 25 lakhs and less �than or upto 5 crores",,,"MANUFACTURING OF FOAM"
"9aad1213-10fe-4dfc-a04e-190e8b397c53","Industrial Manufacturing Unit",17019,1,0,"None of these",,"New Project (New Site)","Other Industries","Small - more than 25 lakhs and less �than or upto 5 crores",,,"Manufacture of other primary paper materials including composite paper and paper board n.e.c."
"2c1bc201-548f-4454-9799-0ab775c64aed",,,0,0,"None of these",,"New Project (New Site)","Other Industries","Medium - more than 5 crores and less than 10 crores",,,"Plastic Goods"
"3c1b6fe0-707c-4354-bb76-cd7939a5f3b6","10 lacs",,0,0,"None of these",,"New Project (New Site)","Textiles/ Apparel/ Knitting/ Embroidery/ Technical textiles","Micro - upto 25 lakhs",,,
"4d35865c-a9f1-4e42-9896-1493480dce1b","EDUCATION",,1,0,"None of these",,"New Project (New Site)","Other Industries","Small - more than 25 lakhs and less �than or upto 5 crores",,,"SERVICE SECTOR"
"d43c51bd-84aa-4acb-b4aa-8b0cd63b9808","READY TO SERVE FRUIT BEVARAGES",,0,1,"None of these",,"New Project (New Site)","Agro-based, Food Processing and Allied Industry","Small - more than 25 lakhs and less �than or upto 5 crores",,,
"5b0202e4-27c0-4652-af6b-5f65ec7b87a2",,,0,0,"None of these",,"New Project (New Site)","Other Industries","Micro - upto 25 lakhs",,,"Rcycle used oil"
