"65b0db27-58f1-4065-9b81-f47427ab914d",1,"Boiler","Electricity","Cyclone Separator"
"a96d22db-51f7-4606-a654-9792fa188abc",1,"Boiler","Electricity","Cyclone Separator"
"8445663e-a1a4-42fa-a56d-63eb4e2be5f3",0,"Not Applicable","NA","NA"
"9d598a80-3cad-4f69-a26e-d17d059dc883",5,"Boiler","Coal","Multi-Cyclone Separator"
"d24e3948-857f-45fb-91df-ce20517480d3",0.1,"Process Emission","Electricity","Multi-Cyclone Separator"
"d3c723dd-b6f0-41ba-8600-1dd1be9b2ecf",0.1,"Process Emission","Electricity","Cyclone Separator"
"16263df3-9c67-4853-8550-e3c955b9d054",0.1,"Process Emission","Electricity","Cyclone Separator"
"91a09e98-e4c8-4c63-80c7-52515b5ec8fe",0,"Not Applicable","NA","NA"
"41277b74-f1f9-4c7b-bb47-20384976d27f",20,"DG Set","HSD","Cyclone Separator"
"a09428cc-7bac-4b6d-b743-0338a40418d8",0,"Not Applicable","NA","NA"
"ac77baa2-b141-482d-a262-49d12c777250",1,"Boiler","Rice Husk","Cyclone Separator"
"fe15aea2-a1a7-4281-80cc-536a08be5628",0.95,"Boiler","Pet Coke","Scrubber"
"eec8c5f4-88ee-40cd-a53e-06b9912ec60c",100,"DG Set","HSD","Bag Filters"
"03da4cef-0ca8-4c6d-8fbf-7d03464d96ee",0,"Not Applicable","NA","NA"
"47ba394b-b038-44ab-a8c5-c8be274bd889",60,"DG Set","HSD","Adequate Stack Height Only"
"8fa2c078-cb5d-4402-9ddb-0020467d66e3",2,"Boiler","Rice Husk","Cyclone Separator"
"5a6b4e34-d13e-4fb0-acf8-44ae197c3fc2",52.5,"DG Set","HSD","Scrubber"
"3ad53fd2-d7f9-4bfa-9e04-f737b932df2c",1,"DG Set","Electricity","Scrubber"
"844faeef-6535-46dc-878d-124c95586539",3,"Process Emission","Electricity","Cyclone Separator"
"c59f973d-8246-4a29-8c25-5d041dee0c2d",40,"Boiler","LDO","Multi-Cyclone Separator"
"30556a25-95cb-49c4-b903-2c16d244ad7b",0,"Not Applicable","NA","NA"
"5c62de47-62c0-4cd7-8a22-0340e37595b7",25,"DG Set","Electricity","Adequate Stack Height Only"
"fc1a8d1c-1ad1-41ce-8d18-be3b7a9c2c34",125,"DG Set","HSD","Bag Filters"
"0155730a-fb63-4cc7-ad27-159e55c31a1e",1,"Boiler","Electricity","Cyclone Separator"
