922E60E8-09F3-49F2-B384-E896EF8BCDCD,Thread,7100,Numbers / day,30-07-2016,30-07-2016,3C1B6FE0-707C-4354-BB76-CD7939A5F3B6
5FABEB08-9704-458C-AF6C-3E127466AD3B,FRUIT DRINK,18,KLD (Kilo Litre / day),13-02-2017,13-02-2017,D43C51BD-84AA-4ACB-B4AA-8B0CD63B9808
DED2ED8B-3B76-4637-9C70-ACDFF7212DB4,Machinery Oil,4.5,TPD (Tons / day),31-07-2016,31-07-2016,5B0202E4-27C0-4652-AF6B-5F65EC7B87A2
1DC8ADA8-7E4F-47D7-8B0E-CDD7ED26A2E3,Mineral water,1200000,KLD (Kilo Litre / day),01-08-2016,01-08-2016,830D2A5B-CF54-4D06-AC2C-57724335C15B
7CB7885E-A3BF-4A60-81DE-91C88D464C25,PICKLE,600,TPD (Tons / day),01-08-2016,01-08-2016,DAC5AB6F-49E6-4366-AA2A-BF9B13C48030
46C36166-A7B9-40C1-9D1C-8AEA76CB84F1,Atta,1,TPD (Tons / day),01-08-2016,01-08-2016,8E881508-6DC0-468E-8221-CACF4F0ECF15
55C97B38-7008-40AD-8575-22C6F84BDBEB,Cotton Ginning,2000,TPD (Tons / day),01-08-2016,01-08-2016,310760E2-8992-40F1-A573-505D5BC1E998
56455D11-3D94-4D3C-9041-795634598AE0,Labels and stickers,130000,Numbers / day,02-08-2016,02-08-2016,35E9151E-B9AD-49B4-B8A0-9787DD191CD3
5316D3E3-9DDA-4742-A5C0-5FB4E3D68639,khal,8,TPD (Tons / day),02-08-2016,02-08-2016,F93BB206-9D2C-4F60-ABBD-48224CF31D5A
AB4A2797-3EF0-49A2-9D24-65976A65F8AA,khal,8,TPD (Tons / day),02-08-2016,02-08-2016,8B30093C-D23A-46EA-8482-0E63B98CE500
1714016B-9407-4766-A8BF-1889C591ADBE,Software,100,Numbers / day,02-08-2016,02-08-2016,370BA914-DE09-458A-8B77-22104EEE8CA7
5AB02814-9685-4C96-9958-4E52637EF950,Education,400,Numbers / day,02-08-2016,02-08-2016,59EA643C-2D21-47E7-82EE-708E471F51AD
1EDEF8ED-1ACD-4694-8196-4CAAD8D6FB20,Wood Products,150,Numbers / day,02-08-2016,02-08-2016,3D4F4C27-1227-4E05-950C-891186FE3950
071654A7-B685-493A-BEDA-2AD8888831CB,Pigment coating,2,TPD (Tons / day),03-08-2016,03-08-2016,6FB466C0-9ECB-43C4-B4DB-D0F7F0840B7A
2A2E665D-58E5-4C2B-A167-8E529823B3ED,Thinner,1.5,TPD (Tons / day),03-08-2016,03-08-2016,6FB466C0-9ECB-43C4-B4DB-D0F7F0840B7A
6A1950E0-C4B6-4D5D-A5CB-ED49A6A4543C,hardener,0.5,TPD (Tons / day),03-08-2016,03-08-2016,6FB466C0-9ECB-43C4-B4DB-D0F7F0840B7A
54C99B52-0A6B-42F8-AC80-267BCB395023,Research Based,1,Numbers / day,03-08-2016,03-08-2016,4BE21AFA-D32B-42A1-9470-4D8FE79399F3
88D78EDB-FC75-417C-82A4-DD87D879EE20,CAR TAP HYDROCHOLORIDE,1,TPD (Tons / day),03-08-2016,03-08-2016,329FA008-CA69-4D5F-9E8A-8825458EF7CD
2811F548-95D6-4A3C-BA8B-20E082EA72C6,CARBO FURON,1,TPD (Tons / day),03-08-2016,03-08-2016,329FA008-CA69-4D5F-9E8A-8825458EF7CD
C7625BEC-0CD6-433C-AA15-F09C8C3360F7,HEXA CONA ZOL,100,KLD (Kilo Litre / day),03-08-2016,03-08-2016,329FA008-CA69-4D5F-9E8A-8825458EF7CD
2457ABBA-17B3-4DD5-92C2-DF5599F8744C,Bearing Race Kit for Motorcycle,200000,Numbers / day,03-08-2016,03-08-2016,BA36E759-03D0-41B7-8140-90FFCE4BB4B5
2F1503AC-EE34-44E6-AE83-4C63ABA4D0E4,Mustured Oil,0.3,TPD (Tons / day),03-08-2016,03-08-2016,19CF7010-8608-4991-AD17-3FACB693F9B5
38DA0753-C4F9-44D5-B8E2-3954290DB5EE,Bricks,24000,Numbers / day,04-08-2016,04-08-2016,3499B902-7FE7-415B-A5E2-435C8DBDA538
0500A4A9-17B6-4665-831D-D6B1F6CAAE6B,"Bread, Rusks",78,TPD (Tons / day),21-01-2017,21-01-2017,F9481913-863F-44BF-9798-430C41852AA8
0F00E4E2-2B87-4D6F-9402-CC6C2CC55FC5,Bakery Products,12,TPD (Tons / day),22-01-2017,22-01-2017,F9481913-863F-44BF-9798-430C41852AA8
04F8DC8C-A1ED-4A66-B8ED-D7E11BCCD7B2,WOVEN BAGS,3000,Numbers / day,06-08-2016,06-08-2016,0B886542-0F56-4EC4-98C4-DF9AEBDACA11
